Clase 1;;Sonidos;
hola;salut;oi;wa
chocolate;chocolat;ou;u
hospital;hôpital;r;g
urgente;urgent;ai;e
un animal;un animal;;
es;c'est;;
es un animal;c'est un animal;;
difícil;difficile;;
es dificil;c'est difficile;;
imposible;impossible;;
es imposible;c'est impossible;;
importante;important;;
es importante;c'est important;;
mí;moi;;
ti;toi;;
para;pour;;
para mí;pour moi;;
para ti;pour toi;;
es para mí;c'est pour moi;;
es importante para mi;c'est important pour moi;;
de verdad ;vraiment;;
de verdad es importante;c'est vraiment important;;
es dificil para ti;c'est difficile pour tou;;
algo;quelque chose;;
es algo importante;c'est quelque chose d'important;;
es algo importante para mi;c'est quelque chose d'important pour moi;;
no;ne pas;;
no es;ce n'est pas;;
no es para mi, es para ti;ce n'est pas pour moi, c'est pour toi;;
no es importante para mi;ce n'est pas important pour moi;;
hoy;aujourd'hui;;
un dia;un jour;;
hoy es un dia importante para mi;aujourd'hui c'est un jour important pour moi;;
facil;facile;;
es facil;c'est facile;;
de verdad es facil;c'est vraiment facile;;
pero;mais;;
es dificil, pero no es imposible, de verdad es importante para mi;c'est difficile, mais ce n'est pas impossible, c'est vraiment important pour moi;;
Clase 2;;;
ahora;maintenant;;
es imposible ahora;c'est impossible maintenant;;
perfecto;parfait;;
es perfecto;c'est parfait;;
así;comme ça;;
es así;c'est comme ça;;
es perfecto así;c'est parfait comme ça;;
ahora es perfecto;c'est parfait maintenant;;
ahora es perfecto así;maintenant c'est parfait comme ça;;
ahora no es importante;maintenant ce n'est pas important;;
muy;très;;
es muy importante;c'est très important;;
no es muy importante;ce n'est pas très important;;
es muy importante para mí;c'est très important pour moi;;
hoy es muy importante para mí;aujourd'hui c'est très important pour moi;;
necesario;nécessaire;;
es necesario;c'est nécessaire;;
es muy necesario;c'est très nécessaire;;
es muy necesario para ti;c'est très nécessaire pour toi;;
bueno;bon;;
es bueno;c'est bon;;
no es bueno;ce n'est pas bon;;
es muy bueno;c'est très bon;;
no es muy bueno;ce n'est pas très bon;;
es muy bueno así;c'est très bon comme ça;;
fantástico;fantastique;;
es fantástico;c'est fantastique;;
es fantástico para mí;c'est fantastique pour moi;;
es fantástico así;c'est fantastique comme ça;;
aquí;ici;;
es fantástico aquí;c'est fantastique ici;;
es algo fantástico;c'est quelque chose de fantastique;;
¿es para mí?;c'est pour moi?;;
¿es dificil?;c'est difficile?;;
¿es dificil así?;c'est difficile comme ça?;;
¿es importante?;c'est important?;;
¿es algo importante?;c'est quelque chose d'important?;;
estar;être;;
estar aquí;être ici;;
es importante estar aquí;c'est important d'être ici;;
es fantástico estar aquí;c'est fantastique d'être ici;;
es muy dificil estar aquí hoy;c'est très difficile d'être ici aujourd'hui;;
hacer;faire;;
hacerlo;le faire;;
es importante hacerlo;c'est important de le faire;;
es imposible hacerlo;c'est impossible de le faire;;
necesitar;avoir besoin;;
yo necesito;j'ai besoin;;
no necesito;je n'ai pas besoin;;
¿es algo difícil? No, pero es muy necesario hacerlo ahora;c'est quelque chose de difficile? non, mais c'est très necessaire de le faire maintenant;;
Clase 3;;;
necesito hacerlo;j'ai besoin de le faire;;
no necesito hacerlo;je n'ai pas besoin de le faire;;
necesito estar aquí;j'ai besoin d'être ici;;
no necesito estar aquí;je n'ai pas besoin d'être ici;;
no necesito estar aquí hoy;je n'ai pas besoin d'être ici aujourd'hui;;
necesito hacerlo ahora;j'ai besoin d'être maintenant;;
necesito estar aquí ahora;j'ai besoin d'être ici maintenant;;
porque;parce que;;
porque es importante;parce que c'est très important;;
necesito hacerlo hoy porque es importante;j'ai besoin de le faire aujourd'hui parce que c'est important;;
necesito estar aquí hoy porque es importante;j'ai besoin d'être ici aujourd'hui parce que c'est important;;
es posible;c'est possible;;
no es posible;ce n'est pas possible;;
ahora, no es posible;maintenant, ce n'est pas possible;;
saber;savoir;;
necesito saber;j'ai besoin de savoir;;
si (condicional);si;;
sí (afirmacion);oui;;
si es posible;si c'est possible;;
si es posible para mi;si c'est possible pour moi;;
necesito saber si es posible;j'ai besoin de savoir si c'est possible;;
necesito saber si es posible hoy;j'ai besoin de savoir si c'est possible aujourd'hui;;
necesito saber si es posible hacerlo hoy;j'ai besoin de savoir si c'est possible de le faire aujourd'hui;;
necesito saber si es posible hacerlo ahora porque es muy importante;j'ai besoin de savoir si c'est possible de le faire maintenant parce que c'est très important;;
necesito saber si es algo importante;j'ai besoin de savoir si c'est quelque chose d'important;;
yo quiero;je veux;;
quiero hacerlo;je veux le faire;;
quiero hacerlo hoy;je veux le faire aujourd'hui;;
no quiero;je ne veux pas;;
no quiero hacerlo así;je ne veux pas le faire comme ça;;
quiero saber si es fácil para mí hacerlo hoy;je veux savoir si c'est facile pour moi de le faire aujourd'hui;;
